CpartNr;SpartNr;PurchaseNo;SaleNo
76755050W110;76785050K110KPK01;870002489;
76755050W330;76785050K330KPK01;870004415;
76755050W336;76785050K336KPK01;870004416;
76755050W337;76785050K337KPK01;870004417;
76755050W660;76785050K660KPK01;870002952;
76755050W661;76785050K661KPK01;870004649;
76755050W663;76785050K663KPK01;870004418;
76755050W665;76785050K665KPK01;870002564;
76755050W666;76785050K666KPK01;870002166;
76755050W668;76785050K668KPK01;870003574;
76755050W773;76785050K773KPK01;870004419;
76755050W886;76785050K886KPK01;870004421;
76755050W888;76785050K888KPK01;870004422;
76755050W990;76785050K990KPK01;870001646;
76755070K355;76785070K355KPK01;870009683;
76755070W003;76785070K003KPK01;870001649;
76755070W005;76785070K005KPK01;870002500;
76755070W009;76785070K009KPK01;870001650;
76755070W110;76785070K110KPK01;870004431;
76755070W111;76785070K111KPK01;870004432;
76755070W330;76785070K330KPK01;870004433;
76755070W335;76785070K335KPK01;870004434;
76755070W336;76785070K336KPK01;870004435;
76755070W337;76785070K337KPK01;870004436;
76755070W440;76785070K440KPK01;870004437;
76755070W441;76785070K441KPK01;870004438;
76755070W443;76785070K443KPK01;870004439;
76755070W445;76785070K445KPK01;870004440;
76755070W446;76785070K446KPK01;870004441;
76755070W448;76785070K448KPK01;870004442;
76755070W550;76785070K550KPK01;870004443;
76755070W551;76785070K551KPK01;870004446;
76755070W553;76785070K553KPK01;870004447;
76755070W555;76785070K555KPK01;870004448;
